id,name,latitude,longitude,website
472481725,,40.8121914,14.3417636,
472968619,San Antón - Getaria,43.3104678,-2.2012997,
473368158,鴎島灯台,41.8681884,140.1139617,
473376221,Leuchtturm Oland,54.674656,8.6869478,
473772904,Shoreham Harbour,50.8308632,-0.2481893,
473890888,Blyth Old Light,55.1254531,-1.5000366,
475564875,Pharos Lighthouse,53.9264838,-3.007515,
475650265,Lorain Harbor Light,41.4810809,-82.1952413,
475651206,Beaver Creek Water Tower Light,41.4213532,-82.3583634,
475651474,Huron Harbor Light,41.4046227,-82.5438374,
475652064,Sandusky Harbor Breakwater Light,41.4992789,-82.6745653,
475902605,Michigan Island Lighthouse,46.8713719,-90.4972887,
475913964,Devil's Island Lighthouse,47.0794718,-90.7283118,
475916954,Outer Island Lighthouse,47.0766461,-90.4167705,
475922855,Sand Island Lighthouse,47.0030973,-90.937509,
476021567,När fyr,57.218275,18.6810476,
476662470,琉球嶼燈塔,22.3288382,120.3665068,
477082189,Sheboygan Breakwater Lighthouse,43.7494734,-87.6926993,
477227578,Cape Borda Lighthouse,-35.752788,136.5933555,
477284143,Faro de Tazones,43.5478791,-5.3990501,
477790821,Menominee North Pier Lighthouse,45.0972715,-87.5859801,
478353679,Manistique East Breakwater Lighthouse,45.9448079,-86.2475833,
479200921,,40.1571862,24.2829664,
479492430,Santa Cruz Lighthouse,36.9514859,-122.026736,
479600509,Phare de Carleton,48.0869476,-66.1248888,
479846826,Corn ar'Che,48.5865626,-4.7321268,
482689414,Dänholm,54.3079616,13.1132353,
482851469,Hüseyin Burnu Feneri,36.9648658,27.263977,
483347164,Gig Harbor Lighthouse,47.3265778,-122.5747398,
484186505,Phare de Cap Blanc,47.1050008,-56.3988946,
484604387,,43.8622193,10.235295,
485571796,,16.9880315,73.2725115,
486519535,Bock rear / Zarrenzin front,54.4478848,13.0243284,
488316701,Naven fyr,58.7013067,13.1090674,
